Year,Jacob,Michael,Joshua,Matthew,Ethan,Andrew,Daniel,Anthony,Joseph,Christopher,William,Alexander,David,Ryan,Nicholas,Tyler,James,John,Jonathan,Nathan,Noah,Logan,Jayden,Aiden,Benjamin,Mason,Elijah,Liam,Jackson,Lucas
2005,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA 
2006,1,2,3,5,4,7,6,9,11,8,10,12,13,14,17,18,16,19,NA,NA,15,20,NA,NA,NA,NA,NA,NA,NA,NA
2007,1,2,4,9,3,10,5,7,13,6,8,11,12,16,20,NA,15,19,NA,NA,14,17,18,NA,NA,NA,NA,NA,NA,NA
2008,1,2,4,10,3,12,5,8,13,9,7,6,14,18,NA,NA,17,20,NA,NA,15,19,11,16,NA,NA,NA,NA,NA,NA
2009,1,3,6,13,2,16,7,11,15,10,5,4,14,20,NA,NA,18,NA,NA,NA,9,17,8,12,19,NA,NA,NA,NA,NA
2010,1,3,11,16,2,14,8,10,20,13,5,6,15,NA,NA,NA,19,NA,NA,NA,7,17,4,9,NA,12,18,NA,NA,NA
2011,1,6,14,12,7,16,10,11,NA,20,3,8,18,NA,NA,NA,17,NA,NA,NA,5,NA,4,9,19,2,13,NA,NA,NA
2012,1,7,17,12,3,18,11,15,19,NA,5,9,20,NA,NA,NA,14,NA,NA,NA,4,NA,8,10,16,2,13,6,NA,NA
2013,3,7,NA,15,6,NA,10,19,20,NA,5,8,18,NA,NA,NA,13,NA,NA,NA,1,17,9,12,14,4,11,2,16,NA
2014,4,7,NA,16,6,NA,10,NA,20,NA,5,8,18,NA,NA,NA,9,NA,NA,NA,1,13,15,14,12,3,11,2,17,19